recruit_id;main_recruit_title;main_income;main_need_career;main_view_count;main_response;class
102634;사업개발 팀장;;경력;조회11;;bussiness
100362;시니어 헬스케어 산업을 함께 만들고 같이 성장 할 영업 Sales Junior를 채용합니다.;;신입, 경력;조회331;;bussiness
89310;[공간 예약 플랫폼 멤버 모집] 사업기획팀 - 비즈니스 (sales);;신입, 경력;조회1,608;;bussiness
98346;Sales Assistant/Operation;;경력;조회487;;bussiness
102369;Data Operation Manager;;경력;조회32;;bussiness
102621;Account Executive;;경력;조회5;;bussiness
97149;[다노] 마이다노서비스 사업기획/운영 매니저 경력자(채용시마감);;경력;조회702;;bussiness
95095;[다노]사업전략 매니저(경력우대);;신입, 경력;조회1,083;;bussiness
102618;[다노]온라인커머스운영(기획/리서치) 인턴;;인턴;조회9;;bussiness
93305;해외 영업 및 파트너 관리;;경력;조회1,101;;bussiness
93309;해외 영업 및 파트너 관리 (이탈리아);;경력;조회1,071;;bussiness
100211;명품 국내 B2B 영업 MD;;경력;조회238;;bussiness
96209;그로스 매니저;;신입;조회1,071;;bussiness
99843;인재 소싱 인턴 (전환형);;인턴;조회514;;bussiness
99836;테크 리크루터;;경력;조회335;;bussiness
96208;그로스 매니저 인턴 (전환형);;인턴;조회1,096;;bussiness
94220;서비스 오퍼레이터;최소 3,600만원 ; 신입, 경력;조회1,196;;bussiness
94219;세일즈 리드;최소 4,000만원 ; 경력;조회1,096;;bussiness
79851;세일즈 매니저;최소 3,600만원 ; 신입, 경력;조회10,093;;bussiness
93041;사업 개발 매니저 (BDM);최소 3,600만원 ; 경력;조회1,398;;bussiness
102552;알고리즘 콘텐츠 개발 (채용전환형 인턴);;신입;조회12;;bussiness
102581;[방구석연구소] 콘텐츠 리드 매니저(광고제휴);;경력;조회6;;bussiness
102110;[채널톡] 세일즈팀 오픈 포지션;;경력;조회50;;bussiness
102544;[채널톡] 인바운드 세일즈 인턴 (정규직 전환형);;인턴, 신입;조회22;;bussiness
102086;[알고랩] 성장하는 물류IT 스타트업 B2B Sales Manager 채용(신입/경력);3,000 - 5,000만원 ; 최소 0.25% ;조회139;;bussiness
92544;뷰티 / 패션 DATA ANALYST;4,000 - 8,000만원 ; 신입, 경력;조회1,193;;bussiness
102473;[언리미트] 오프라인 리테일 세일즈(MD);;경력;조회19;;bussiness
101626;[Tridge] International Deal Manager (경력 1~5년 이상);;경력;조회124;;bussiness
100411;[Tridge] International Trade Interviewer (경력);;경력;조회300;;bussiness
100995;[Tridge] Domestic Sales Manager (경력 1~5년);3,000 - 4,999만원 ; 경력;조회180;;bussiness
101831;[Tridge] Global Market Development (경력 1~5년);;경력;조회104;;bussiness
101945;[Tridge] Research Assistant (인턴);;인턴;조회128;;bussiness
100986;[Youpick] Food Importer (경력 1~5년);;경력;조회192;;bussiness
97948;[맨투맨] 이커머스 MD 모집;;인턴, 신입, 경력;조회598;;bussiness
102415;이커머스 MD;3,200 - 4,000만원 ; 경력;조회27;;bussiness
94099;사업개발팀장;;경력;조회958;;bussiness
95652;세움경제뉴스 블라인드 채용;17.0% - 30.0% ; 인턴, 신입, 경력;조회2,204;;bussiness
102325;글로벌 특허검색서비스 B to B  영업 담당자를 모십니다.;2,800 - 5,000만원 ; 신입, 경력;조회26;;bussiness
94354;시니어 수학 콘텐츠 스페셜리스트 Senior Math Contents Specialist;;경력;조회932;;bussiness
94262;수학 콘텐츠 스페셜리스트 Math Contents Specialist (신입);;신입, 경력;조회1,306;;bussiness
58082;[숨고] Business Development Specialist;;경력;조회2,061;;bussiness
57403;[숨고] Business Data Analyst;;경력;조회6,066;;bussiness
99918;전략기획 실장;;경력;조회365;;bussiness
102265;세일즈 매니저/세일즈 디렉터;;경력;조회43;;bussiness
100893;Sales Engineer (Global);;경력;조회175;;bussiness
98896;성장전략팀 Manager;;경력;조회462;;bussiness
100894;Business Development Manager (Global);;경력;조회189;;bussiness
102217;"(채용시 마감) 원격진료 서비스""DoctorHere""를  알릴 Sales Manager를 찾습니다.";최소 3,300만원 ; 경력;조회36;;bussiness
102207;Sales Manager 채용 (신입/경력) (~8월 1일);;인턴, 신입, 경력;조회62;;bussiness
100514;Commercial Account Executive - Seoul;5,000 - 10,000만원 ; 경력;조회310;;bussiness
102133;Sales Development Representative - Seoul;40 - 70만원 ; 신입, 경력;조회77;;bussiness
102185;Enterprise Sales Executive - Seoul;7,000 - 14,997만원 ; 경력;조회47;;bussiness
102171;Enterprise Sales Engineer - Seoul;;경력;조회47;;bussiness
102007;[이큐브랩] 해외 영업 인재 모십니다 (신입/경력);4,000 - 4,500만원 ; 신입, 경력;조회106;;bussiness
97865;[집토스] 소속 공인중개사 / 중개보조원 대규모 채용 (서울 전 지역, 수원);;인턴;조회1,437;;bussiness
102035;[디노스튜디오] 플랫폼 / 마케팅 영업사원 모집;2,500 - 5,000만원 ; 신입, 경력;조회80;;bussiness
90400;CS / 영업 관리;2,400 - 2,600만원 ; 신입, 경력;조회375;;bussiness
89454;Business Development Manager;;인턴, 신입, 경력;조회2,744;;bussiness
95248;[주니어] 사업개발(B2B) 매니저;;신입, 경력;조회955;;bussiness
101942;사업기획/전략기획/operating;;인턴, 신입, 경력;조회129;;bussiness
89621;Data Engineer(산업기능요원/전문연구요원 복무 가능);;경력;조회2,168;;bussiness
89650;Recruiter;;경력;조회1,803;;bussiness
101897;[경력] 글로벌 B2B 뷰티 플랫폼 (UMMA) MD 모집;;경력;조회104;;bussiness
91527;정보보안 및 개인정보보호 컨설턴트;;인턴, 신입;조회1,434;;bussiness
101885;전략지원매니저;;경력;조회104;;bussiness
101877;국내 ITS 영업 및 정부과제 관리;;경력;조회94;;bussiness
101875;얼굴인식 솔루션 영업;;경력;조회83;;bussiness
93450;[헤딩/콜리] 라이선스 MD;;경력;조회1,120;;bussiness
93451;[헤딩/콜리] 세일즈 MD;;경력;조회1,151;;bussiness
101845;[헤딩/Top컨설팅사] 금융권 ISP 및 클라우드 컨설팅;;경력;조회81;;bussiness
93454;[헤딩/콜리] 전략 비즈뎁;;경력;조회1,134;;bussiness
101757;[ 에너지 & IT ] 사업개발 (BD);;신입, 경력;조회118;;bussiness
95485;[홈쇼핑모아] 비즈니스 / 광고매니저;;경력;조회824;;bussiness
98074;[홈쇼핑모아] 식품 MD;;경력;조회692;;bussiness
98980;신한 Future's Lab 사무국운영 담당자 모집(글로벌 프로그램);;경력;조회513;;bussiness
93709;글로벌 사업개발팀 매니저;;경력;조회1,099;;bussiness
95588;세일즈 컨설팅팀 리드;5,000 - 7,000만원 ; 경력;조회973;;bussiness
100468;세일즈 컨설팅팀 매니저(미팅);;경력;조회237;;bussiness
96524;Business Analyst (Lead);6,000 - 8,000만원 ; 경력;조회697;;bussiness
93822;B2B 영업 담당자;;경력;조회2,194;;bussiness
101557;사업추진실 경력직;;경력;조회117;;bussiness
101558;사업추진실 신입직;;신입;조회119;;bussiness
96501;[더기프팅컴퍼니] 커뮤니티 매니저 채용 (경력 5년↓);;경력;조회861;;bussiness
101469;[본사] (주)잇올그룹 가맹영업팀 팀장 채용 (경력);;경력;조회120;;bussiness
101421;신규 사업기획 및 개발;;경력;조회143;;bussiness
89355;클라우드 게임 & 영상 부분  SALES 채용;;경력;조회1,056;;bussiness
95346;[IoT platform] byb 서비스 기획 - 파트너십 매니저;;신입, 경력;조회1,482;;bussiness
101274;사업전략;;경력;조회171;;bussiness
89288;[백패커/아이디어스] 사업전략 및 기획;;경력;조회1,700;;bussiness
95141;[백패커/아이디어스] PO(Product Owner);;경력;조회987;;bussiness
101104;IT 전문 영업 인재를 모십니다.;;경력;조회163;;bussiness
96274;초중고 코딩교육 사업개발 (K-12 Education BD);4,000 - 8,000만원 ; 경력;조회1,416;;bussiness
100400;엔터프라이즈 영업 (B2B Account Manager);3,000 - 7,000만원 ; 경력;조회273;;bussiness
100397;정부사업팀 팀장 (Leader, Government Programs Team);4,000 - 8,000만원 ; 경력;조회276;;bussiness
98422;[플랫비] 2021년 Lean Team - B2B 사업개발/영업;;경력;조회534;;bussiness
101004;[신한금융그룹] 스타트업 온라인 플랫폼(이노톡) 사업개발 담당자 채용안내;;경력;조회159;;bussiness
90203;[스튜디오 위피] AD(조연출) 담당해주실 분을 모십니다.;;경력;조회1,216;;bussiness
99596;[엔라이즈] 데이터 분석 (신입);;신입, 경력;조회704;;bussiness
100924;해외 사업 개발 Business Development 매니저 [정규직/경력직];;경력;조회190;;bussiness
100913;CS (고객지원)팀 정직원 모집;;신입, 경력;조회212;;bussiness
100905;사업 기획자&콘텐츠 마케터;;인턴, 신입, 경력;조회189;;bussiness
100899;상품 & 유통 조직 총괄 관리자;;경력;조회174;;bussiness
100885;리서치 애널리스트, 전략컨설팅 연구원;;신입;조회262;;bussiness
100827;공시 담당자 채용 (경력 3년 미만);;경력;조회257;;bussiness
92937;[씨유박스] 해외영업 담당자 채용;;경력;조회1,157;;bussiness
92941;[씨유박스] 해외사업/전략 기획 담당자 채용 (경력자);;경력;조회1,115;;bussiness
